edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ENHA_HSF1;PLK1	5.1044901017874	3.9338534493583803e-35	False	((1.1, -0.492638036809816), array([-0.86200684, -0.36541659]))	False
CDYL;ENHA_MYC	4.98206164854795	1.87580181193363e-25	False	(array([-0.31176135,  0.93615979]), (1.1, -0.08773006134969319))	False
CDYL;ENHA_REST	4.19347505827012	1.09148266630462e-21	False	(array([-0.31176135,  0.93615979]), (1.1333333333333335, 0.33067484662576696))	False
ENHA_MYC;UBTF	4.78142906804901	3.82328802133952e-09	False	((1.1, -0.08773006134969319), array([0.24113797, 0.93371338]))	False
ENHA_MYC;EZH2	5.09117754964622	2.0440498180122e-18	False	((1.1, -0.08773006134969319), array([0.58211637, 0.8273614 ]))	False
ENHA_MYC;GTF3C1	9.48839062719694	1.30340562977439e-56	False	((1.1, -0.08773006134969319), array([-0.66993189,  0.3698203 ]))	False
ENHA_MYC;PNO1	9.48839062719694	1.30340562977439e-56	False	((1.1, -0.08773006134969319), array([ 0.77954513, -0.55256498]))	False
ENHA_MYC;TP73	4.42298491041238	5.245993525563311e-15	False	((1.1, -0.08773006134969319), array([-0.23606314,  0.75501966]))	False
ENHA_STAT1;TP73	3.8460294487461	1.1446043634958701e-19	False	((1.1, 0.6006134969325154), array([-0.23606314,  0.75501966]))	False
ENHA_TP53;TP73	2.69900746672574	0.0007041391464307	False	((1.1, 0.8030674846625769), array([-0.23606314,  0.75501966]))	True
ENHA_RUNX2;TP73	4.29674994669852	3.4011540405739704e-25	False	((1.1, 0.39815950920245413), array([-0.23606314,  0.75501966]))	False
ENHA_MYC;PSMD2	9.81859522666542	9.23107446469914e-68	False	((1.1, -0.08773006134969319), array([-0.97571498,  0.1546839 ]))	False
ENHA_HINFP;SRRM2	4.62751554729076	1.15118083173829e-13	False	((1.1666666666666667, -0.5061349693251533), array([-0.35640422,  0.90688097]))	False
ENHA_ESR2;SRRM2	6.26544457335753	2.30961519281943e-41	False	((1.1666666666666667, -0.7490797546012271), array([-0.35640422,  0.90688097]))	False
ENHA_ESR2;PELP1	5.24410261282331	7.25508923982027e-37	False	((1.1666666666666667, -0.7490797546012271), array([0.89074862, 0.29739234]))	False
ENHA_STAT3;PELP1	2.69633568244541	3.28292706182808e-05	False	((1.1333333333333335, 0.614110429447853), array([0.89074862, 0.29739234]))	False
ENHA_ESR2;MSH2	4.64875747970645	2.5712576688902003e-25	False	((1.1666666666666667, -0.7490797546012271), array([-0.96774811, -0.10912626]))	False
